<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20200630,000000,205.6600000,206.0000000,202.3600000,203.2200000,43705610
SBER,D,20200702,000000,205.0100000,210.1500000,204.2800000,209.6000000,76154820
SBER,D,20200703,000000,210.0000000,211.9700000,209.0000000,210.9500000,50602810
SBER,D,20200706,000000,212.9400000,216.7900000,212.9400000,214.6100000,55118170
SBER,D,20200707,000000,212.9000000,214.2300000,210.5100000,210.5300000,44709210
SBER,D,20200708,000000,210.8000000,212.2900000,209.3000000,210.9700000,41999670
SBER,D,20200709,000000,210.7000000,211.7000000,208.1000000,209.1100000,45129130
SBER,D,20200710,000000,207.5000000,212.6000000,206.5700000,212.2800000,50631590
SBER,D,20200713,000000,213.8600000,214.2000000,208.1100000,208.3900000,51159680
SBER,D,20200714,000000,208.3800000,209.5800000,205.7000000,209.5000000,65996740
SBER,D,20200715,000000,210.2900000,211.8000000,207.6500000,211.0900000,49443460
SBER,D,20200716,000000,209.7000000,212.6000000,208.6300000,211.3500000,38986190
SBER,D,20200717,000000,211.6800000,212.1800000,209.8600000,210.8100000,36123640
SBER,D,20200720,000000,210.2700000,214.4800000,209.0800000,213.8900000,44482520
SBER,D,20200721,000000,215.0000000,219.1000000,214.3800000,215.7300000,75241030
SBER,D,20200722,000000,215.9800000,217.6500000,213.5600000,216.7100000,48418830
SBER,D,20200723,000000,217.4900000,219.2800000,215.0000000,215.4100000,43348380
SBER,D,20200724,000000,214.7800000,217.4100000,197.7300000,215.9700000,53375040
SBER,D,20200727,000000,216.6400000,218.3800000,215.1500000,216.9000000,38282820
SBER,D,20200728,000000,216.8200000,217.4200000,215.2500000,215.5300000,24557890
SBER,D,20200729,000000,215.8900000,219.1800000,215.6300000,219.1800000,41332240
SBER,D,20200730,000000,218.7100000,218.8800000,215.3400000,218.1500000,51172130
SBER,D,20200731,000000,218.1800000,221.9800000,217.4300000,221.5700000,59643550
SBER,D,20200803,000000,222.2700000,228.3600000,221.3000000,226.7200000,64491510
SBER,D,20200804,000000,227.3900000,228.8500000,225.6300000,227.1600000,41990440
SBER,D,20200805,000000,228.1500000,229.1700000,224.3100000,226.4000000,54596910
SBER,D,20200806,000000,226.6000000,227.4300000,224.3500000,226.0000000,30150840
SBER,D,20200807,000000,225.0500000,227.6000000,224.4600000,227.2800000,35603190
SBER,D,20200810,000000,227.8800000,228.7000000,224.5100000,225.9900000,43443970
SBER,D,20200811,000000,226.2100000,234.7300000,226.2100000,232.6500000,81839190
SBER,D,20200812,000000,233.1400000,242.5000000,233.0300000,242.4000000,100956370
SBER,D,20200813,000000,242.1400000,244.0400000,238.5700000,241.3900000,85633070
SBER,D,20200814,000000,242.0000000,242.2200000,238.4700000,239.9900000,44251150
SBER,D,20200817,000000,240.8000000,242.3500000,234.5000000,237.8000000,77010820
